h,an,2,含,hán,to keep
h,an,3,喊,hǎn,to yell
h,an,4,旱,hàn,drought
z,an,1,簪,zān,hairpin
z,an,2,咱,zán,we
z,an,3,攒,zǎn,to collect
z,an,4,欑,zàn,gather
c,an,1,参,cān,to take part in
c,an,2,蚕,cán,silkworm
c,an,3,惨,cǎn,miserable
c,an,4,灿,càn,glorious
s,an,1,三,sān,three
s,an,3,伞,sǎn,umbrella
s,an,4,散,sàn,to scatter
zh,an,1,粘,zhān,to glue
zh,an,3,盏,zhǎn,a small cup
zh,an,4,站,zhàn,station
ch,an,1,掺,chān,to mix
ch,an,2,蝉,chán,cicada
ch,an,3,产,chǎn,to give birth
ch,an,4,儳,chàn,irregular
sh,an,1,山,shān,mountain
sh,an,3,闪,shǎn,to dodge
sh,an,4,善,shàn,good
r,an,2,燃,rán,to burn
r,an,3,㿵,rǎn,soft leather
,ang,1,骯,āng,dirty; filthy
,ang,2,昂,áng,to lift; to raise;
,ang,3,䭺,ǎng,a scared horse
,ang,4,盎,àng,bowl; dish; pot
b,ang,1,帮,bāng,to help;
b,ang,3,绑,bǎng,to tie;
b,ang,4,棒,bàng,stick;
p,ang,1,胮,pāng,to swell
p,ang,2,旁,páng,one side; other; different;
p,ang,3,䒍,pǎng,"without color, clear and lucid"
p,ang,4,胖,pàng,fat; plump
m,ang,1,牤,māng,bull
m,ang,2,忙,máng,busy
m,ang,3,蟒,mǎng,python
f,ang,1,方,fāng,square
f,ang,2,防,fáng,to protect; to defend
f,ang,3,仿,fǎng,to imitate; to copy
f,ang,4,放,fàng,to put; to place; to release
d,ang,1,儅,dāng,stop
d,ang,3,挡,dǎng,to resist
d,ang,4,荡,dàng,to wash
t,ang,1,汤,tāng,soup
t,ang,2,糖,táng,sugar; sweets; candy
t,ang,3,躺,tǎng,to recline
t,ang,4,烫,tàng,to scald
n,ang,1,乪,nāng,a bend in a river
n,ang,2,囊,náng,sack
n,ang,3,攮,nǎng,to fend off; to stab
n,ang,4,㚂,nàng,dust; dirt
l,ang,2,狼,láng,wolf
l,ang,3,朗,lǎng,clear; bright
l,ang,4,浪,làng,wave
g,ang,1,钢,gāng,steel
g,ang,3,港,gǎng,harbor
g,ang,4,鿍,gàng,hill
k,ang,1,康,kāng,healthy
k,ang,2,扛,káng,to carry on one's shoulder
k,ang,3,䡉,kǎng,kind of cart
k,ang,4,亢,kàng,high
h,ang,1,夯,hāng,to tamp
h,ang,2,行,háng,row
